category_id,title,description,price,email
1,Charming studio,Beautiful recently renovated studio in Oakland,950,joe@email.com
1,Penthouse,Balllinnnnnnnnnnn,100000,rich@gmail.com
2,Ferrari,Goes great with your penthouse,200000,rich@gmail.com
2,Honda Civic,great sensible car,9000,joe@email.com
3 goods,designer couch,so luxurious,4000,rich@gmail.com
3 goods,IKEA desk,so sturdy,40,joe@email.com
4 goods,golf culbs,top of the line,1000,rich@gmail.com
4 goods,basketball,bounces well,10,joe@email.com
5,caviar,from the sea,500,rich@gmail.com
5,Coco Crispies,so chocolatey,2,joe@email.com
